No.,Meaning,Afrikaans,Albanian,Armenian,Bengali,Bosnian,Bulgarian,Catalan,Croatian,Czech,Danish,Dutch,English,French,Galician,German,Greek,Gujarati,Hindi,Icelandic,Irish,Italian,Latvian,Lithuanian,Macedonian,Marathi,Nepali,Norwegian,Pashto,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sinhala,Slovak,Slovenian,Spanish,Swedish,Ukrainian,Urdu,Welsh
1,I,ek,unë,ես,আমি,ja,аз,jo,ja,já,jeg,ik,I,je,eu,ich,εγώ,હું,मैं,ég,mé,io,es,aš,јас,मी,म,jeg,زه,من,ja,eu,eu,я,ја,මම,ja,jaz,yo,jag,я,میں,i
2,you (singular),jy,ti,դու,তুমি,ti,ти,tu,ti,ty,du,jij,you,tu,ti,du,εσύ,તું,तुम,þú,tú,tu,tu,tu,ти,तू,तिमी,du,ته,تو,ty,você,tu,ты,ти,ඔබ,ty,ti,tú,du,ти,تم,ti
3,we,ons,ne,մենք,আমরা,mi,ние,nosaltres,mi,my,vi,wij,we,nous,nós,wir,εμείς,અમે,हम,við,muid,noi,mēs,mes,ние,आम्ही,हामी,vi,مونږ,ما,my,nós,noi,мы,ми,අපි,my,mi,nosotros,vi,ми,ہم,ni
4,this,hierdie,ky,այս,এই,ovo,това,això,ovaj,tento,dette,deze,this,ce,isto,diese,αυτός,આ,यह,þetta,seo,questo,šis,tas,ова,हे,यो,denne,دا,این,ten,este,acest,это,ово,මේ,ten,ta,este,detta,це,یہ,hwn
5,that,dat,ai,այդ,যে,to,че,això,da,tamten,at,dat,that,cela,iso,das,εκείνος,કે,वह,það,go,quello,tas,kad,тоа,ते,त्यो,dette,هغه,آن,że,aquele,acea,то,то,අර,to,tisti,ese,den där,те,وه,hwnnw
6,who,wie,kush,ով,কে,ko,кой,qui,tko,kdo,hvem,wie,who,qui,quén,wer,ποιος,કોણ,कौन,hver,cé,chi,kurš,kas,кој,कोण,को,hvem,څوک,کی,który,quem,cine,кто,ko,කවු,kto,kdo,quién,vem,хто,کون,pwy
7,what,wat,çfarë,ինչ,কি,šta,какво,què,što,co,hvad,wat,what,quel,qué,was,τι,શું,क्या,hvað,cad,che,kas,kas,што,काय,के,hva,څه,چه,co,que,ce,что,шта,මොකක්,čo,kaj,qué,vad,що,کیا,beth
8,not,nie,jo,ոչ,না,ne,не,no,ne,ne…,ikke,niet,not,ne pas,non,nicht,δεν,નથી,नहीं,ekki,ní,non,nē,ne,не,नाही,होइन,ikke,نه,نه,nie,não,nu,не,не,නැහැ,nie,ne,no,inte,ні,نہیں,ddim
9,all,alle,gjithë,բոլոր,সব,sve,всичко,tot,svi,všechno,alle,alle,all,tout,todos,alles,όλος,બધા,सब,allur,go léir,tutto,visi,visas,сите,सर्व,सबै,alle,ټول,همه,wszystko,tudo,toate,всё,све,සියළු,všetky,vse,todo,all,всі,تمام,gyd
10,many,baie,shumë,շատ,অনেক,mnogi,много,molts,puno,mnoho,mange,veel,many,beaucoup,moitos,viele,πολύς,ઘણા,अनेक,margur,go leor,molto,daudzi,daugelis,многу,अनेक,धेरै,mange,ډیری,زیاد,wiele,muito,mulți,много,многи,බොහෝ,veľa,veliko,mucho,många,багато,سب,llawer
11,one,een,një,մեկ,এক,jedan,един,un,jedan,jeden,en,een,one,une,un,eins,ένας,એક,एक,einn,aon,uno,viens,vienas,еден,एक,एक,en,یو,یک,jeden,um,unu,один,један,එක,jeden,en,uno,ett,один,ایک,un
12,two,twee,dy,երկու,দুই,dva,две,dos,dva,dva,to,twee,two,deux,dous,zwei,δύο,બે,दो,tveir,dó,due,divi,du,два,दोन,दुई,to,دوه,دو,dwa,dois,două,два,два,දෙක,dva,dve,dos,två,два,دو,dwy
13,big,groot,i madh,մեծ,বৃহৎ,velik,голям,gran,velik,velký,stor,groot,big,grand,grande,groß,μεγάλος,મોટું,बड़ा,stór,mór,grande,liels,didelis,големо,मोठा,ठूलो,stor,لوی,بزرگ,duży,grande,mare,большой,велики,මහා,veľký,velik,grande,stor,великий,بڑا,mawr
14,long,lank,i gjatë,երկար,দীর্ঘ,dug,дълго,llarg,dugo,dlouhý,lang,lang,long,long,longo,lang,μακρύς,લાંબી,लंबा,langur,fada,lungo,garš,ilgas,долго,लांब,लामो,lang,اوږد,طولانی,długi,longo,lung,длинный,дуг,දිග,dlhý,dolg,largo,lång,довгий,لمبا,hir
15,small,klein,i vogël,փոքր,ছোট,mali,малък,petit,mali,malý,lille,klein,small,petit,pequeno,klein,μικρός,નાનું,छोटा,lítill,beag,piccolo,mazs,mažas,мали,लहान,सानो,liten,کوچنی,کوچک,mały,pequeno,mic,маленький,мали,පොඩි,malý,majhen,pequeño,små,малий,چھوٹا,bach
16,woman,vrou,grua,կին,মহিলা,žena,жена,dona,žena,žena,kvinde,vrouw,woman,femme,muller,Frau,γυναίκα,સ્ત્રી,महिला,kona,bean,donna,sieviete,moteris,жена,स्त्री,महिला,kvinne,ښځه,زن,kobieta,mulher,femeie,женщина,жена,කාන්තාවක්,žena,ženska,mujer,kvinna,жінка,عورت,gwraig
17,man,man,burrë,տղամարդ,মানুষ,čovjek,мъж,home,čovjek,muž,mand,mens,man,homme,home,Mann,άνδρας,માણસ,पुरुष,maður,fear,uomo,vīrietis,vyras,човек,माणूस,पुरुष,mann,سړی,مرد,mężczyzna,homen,om,мужчина,човек,පුරුෂයා,muž,moški,hombre,man,чоловік,مرد,dyn
18,person,persoon,person,մարդ,ব্যক্তি,osoba,лице,persona,osoba,člověk,person,persoon,person,personne,persoa,Person,πρόσωπος,વ્યક્તિ,व्यक्ति,manneskja,duine,persona,cilvēks,asmuo,лице,व्यक्ती,व्यक्ति,person,شخص,شخص,osoba,pessoa,persoană,человек,особа,මිනිස්සා,človek,oseba,persona,person,особа,شخص,person
19,fish,vis,peshk,ձուկ,মাছ,riba,риба,peix,riba,ryba,fisk,vis,fish,poisson,peixe,Fisch,ψάρι,માછલી,मछली,fiskur,iasc,pesce,zivs,žuvis,риба,मासे,माछा,fisk,کب,ماهی,ryba,peixe,peşte,рыба,риба,මාළු,ryba,riba,pescado,fisk,риба,مچھلی,pysgodyn
20,bird,voël,zog,թռչուն,পাখি,ptica,птица,ocell,ptica,pták,fugl,vogel,bird,oiseau,paxaro,Vogel,πουλί,પક્ષી,चिड़िया,fugl,éan,uccello,putns,paukštis,птица,पक्षी,चरा,fugl,مرغۍ,پرنده,ptak,pássaro,pasăre,птица,птица,කුරුල්ලා,vták,ptica,pájaro,fågel,птах,پرندہ,aderyn
21,dog,hond,qen,շուն,কুকুর,pas,куче,gos,pas,pes,hund,hond,dog,chien,can,Hund,σκύλος,કૂતરો,कुत्ता,hundur,madra,cane,suns,šuo,куче,कुत्रा,कुकुर,hund,سپی,سگ,pies,cachorro,câine,собака,пас,බල්ලා,pes,pes,perro,hund,собака,کتا,ci
22,louse,luis,morr,ոջիլ,উকুন,uš,въшка,poll,uš,veš,lus,luis,louse,pou,piollo,Laus,ψείρα,જૂઈ,जूं,lús,mionlach,pidocchio,uts,utėlė,вошка,लूज,जुम्रा,lus,شپږه,شپش,wesz,piolho,păduche,вошь,уш,උකුණා,voš,uš,piojo,lus,воші,جوئیں,lleuen
23,tree,boom,pemë,ծառ,গাছ,drvo,дърво,arbre,stablo,strom,træ,boom,tree,arbre,árbore,Baum,δέντρο,વૃક્ષ,पेड़,tré,crann,albero,koks,medis,дрво,झाड,रुख,tre,ونه,درخت,drzewo,árvore,copac,дерево,дрво,ගස,strom,drevo,árbol,träd,дерево,درخت,coeden
24,seed,saad,farë,սերմ,বীজ,sjeme,семена,llavor,sjeme,semeno,frø,zaad,seed,graine,semente,Samen,σπόρος,બીજ,बीज,fræ,síol,seme,sēkla,sėkla,семка,बियाणे,बीज,frø,تخم,دانه,nasionko,semente,sămânță,семя,семе,ඇටය,semeno,seme,semilla,utsäde,насіння,بیج,hedyn
25,leaf,blaar,gjeth,տերև,পাতা,list,лист,fulla,list,list,blad,blad,leaf,feuille,folla,Blatt,φύλλο,પર્ણ,पत्ता,laufblað,duilleog,foglia,lapa,lapelis,лист,पान,पात,blad,پاڼه,برگ,liść,folha,frunze,лист,лист,කොළ,list,list,hoja,blad,лист,پتی,dalen
26,root,wortel,rrënjë,արմատ,মূল,korijen,корен,arrel,korijen,kořen,rod,wortel,root,racine,raíz,Wurzel,ρίζα,મૂળ,जड़,rót,fréamh,radice,sakne,šaknis,корен,मूळ,जरा,rot,ريښه,ریشه,źródło,raiz,rădăcină,корень,корен,මූල,koreň,koren,raíz,rot,корінь,جڑ,gwraidd
27,bark,bas,lëvore,կեղև,বাকল,kora,кора,escorça,kora,kůra,bark,blaffen,bark,écorce,casca,Borke,φλοιός,છાલ,छाल,börkur,choirt,corteccia,miza,žievė,кора,झाडाची साल,रूखको बोक्रा,bark,پوستکی,پوست درخت,szczekać,casca,scoarță,кора,кора,පොත්ත,štekať,lubje,corteza,skall,кора,چھال,rhisgl
28,skin,vel,lëkurë,կաշի,চামড়া,koža,кожа,pell,koža,kůže,hud,huid,skin,peau,pel,Haut,δέρμα,ત્વચા,त्वचा,húð,craiceann,pelle,āda,oda,кожата,त्वचा,छाला,hud,پوستکی,پوست,skóra,pele,piele,кожа,кожа,හම,koža,koža,piel,hud,шкіра,جلد,croen
29,flesh,vleis,mish,մարմին,মাংস,meso,месо,carn,meso,maso,kød,vlees,flesh,viande,carne,Fleisch,κρέας,માંસ,मांस,kjöt,feoil,carne,gaļa,mėsa,месо,मांस,मासु,kjøtt,غوښه,گوشت,mięso,carne,carne,мясо,месо,මස්,mäso,meso,carne,kött,м'ясо,گوشت,cig
